City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Boyolangu,ID,75.51,overcast clouds,-8.1181,111.8935,Yos ega cv
242,Moju,BR,86.0,light rain,-1.8839,-48.7689,HOTEL MARTINS
245,Soure,BR,83.84,light rain,-0.7167,-48.5233,Casarão da Amazônia
246,Villahermosa,MX,71.6,overcast clouds,17.9833,-92.9167,Olmeca Plaza
247,Cayenne,GF,86.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
248,Burnie,AU,58.35,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
249,Martapura,ID,73.4,light rain,-3.4167,114.85,Montana Hotel Syariah
251,Necochea,AR,66.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
252,Kapit,MY,71.17,light rain,2.0167,112.9333,Hotel Meligai Kapit
253,Pringsewu,ID,73.87,overcast clouds,-5.3582,104.9744,Urban Style by Front One
255,Quelimane,MZ,81.73,light rain,-17.8786,36.8883,Hotel Flamingo
264,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
266,Pathein,MM,66.15,few clouds,16.7833,94.7333,New Pammawaddy Hotel
267,Guerrero Negro,MX,70.95,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
268,Tagusao,PH,76.59,very heavy rain,9.1924,117.8141,Green Villa beach resort
270,Sao Joao Da Barra,BR,87.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
271,Rio Grande,BR,80.6,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
272,Gboko,NG,87.3,few clouds,7.3179,8.9951,Mavillah Apartment and Suites
273,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
275,Mbanza-Ngungu,CD,70.93,light rain,-5.25,14.8667,Hotel Full Business
276,Bonanza,NI,83.93,overcast clouds,14.0289,-84.591,Edificio Administrativo HEMCO
282,Nhulunbuy,AU,80.6,light rain,-12.2333,136.7667,East Arnhem Real Estate
283,Wollongong,AU,62.01,broken clouds,-34.4333,150.8833,Flinders Motel
285,Kloulklubed,PW,75.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
286,Port Moresby,PG,78.8,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
287,Tutoia,BR,82.4,broken clouds,-2.7619,-42.2744,Pousada Guará's
289,Gondanglegi,ID,74.86,light rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
291,Dickinson,US,64.0,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
